businessanalysisreport3,	 businessanalysisreport3cp15, add,	 cell_8702,	 cell_8136
chesswinnerprediction,	 chesswinnerpredictioncp15,	 delete,	 4_DataFrame_chesswinnerprediction,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp15,	 delete,	 cell_8822,	 -
solarpowerplantanalysis,	 solarpowerplantanalysiscp15,	 delete,	 24_df_weath_1_solarpowerplantanalysis,	 -
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp15, add,	 20_data_dpredictionwithtensorflow,	 10_DataFrame_businessanalysisreport5
thefutureofpowerissolar,	 thefutureofpowerissolarcp15,	 delete,	 cell_8184,	 -
covid19tweetanalysis,	 covid19tweetanalysiscp15, add,	 22_DataFrame_covid19tweetanalysis,	 8_text_9tweetsentimentalanalysis
tavisualizationwithpython,	 tavisualizationwithpythoncp15, add,	 35_png_tavisualizationwithpython,	 45_png_olarpowermachinelearningi
iencetutorialforbeginners,	 iencetutorialforbeginnerscp15,	 delete,	 87_data1_iencetutorialforbeginners,	 -
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp15, add,	 cell_7252,	 22_movie_normalized_df_ystemusingweightedaverage
isvisualizationwithpython,	 isvisualizationwithpythoncp15,	 delete,	 cell_7838,	 -
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp15, add,	 21_text_lixedaconsumptionanalysis,	 cell_10347
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp15,	 delete,	 cell_7556,	 -
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp15, add,	 cell_7622,	 50_text_izationplotlyplotstreemap
ics1descriptivestatistics,	 ics1descriptivestatisticscp15, add,	 cell_9096,	 cell_9279
borsknnclassification7525,	 borsknnclassification7525cp15,	 delete,	 22_png_borsknnclassification7525,	 -
variateplottingwithpandas,	 variateplottingwithpandascp15,	 delete,	 cell_7531,	 -
isforsolarpowergeneration,	 isforsolarpowergenerationcp15, add,	 cell_8249,	 42_X_train_mobilepriceclassification
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp15, add,	 11_text_iewsdatasetinsightsofdata,	 cell_9335
heartdisease,	 heartdiseasecp15,	 delete,	 11_png_heartdisease,	 -
nerationpredictionxgboost,	 nerationpredictionxgboostcp15, add,	 cell_8296,	 cell_9370
analysisvizrecommendation,	 analysisvizrecommendationcp15,	 delete,	 cell_9310,	 -
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp15,	 delete,	 103_perc_deogamesalesedawithplotly,	 -
exploratorydataanalysis,	 exploratorydataanalysiscp15, add,	 15_text_exploratorydataanalysis,	 53_top_5_countries_cnt_iewsdatasetinsightsofdata
ddatasetsvmclassification,	 ddatasetsvmclassificationcp15, add,	 cell_8331,	 cell_7475
videogamesanalysis,	 videogamesanalysiscp15, add,	 cell_8770,	 127_DataFrame_iencetutorialforbeginners
dfrauddetection95accuracy,	 dfrauddetection95accuracycp15,	 delete,	 19_X_dfrauddetection95accuracy,	 -
analysingindianrecipes,	 analysingindianrecipescp15, add,	 cell_7079,	 23_text_mushroomclassification
predictingthesales,	 predictingthesalescp15, add,	 3_DataFrame_predictingthesales,	 cell_9311
rclothesdatavisualization,	 rclothesdatavisualizationcp15,	 delete,	 4_DataFrame_rclothesdatavisualization,	 -
businessanalysisreport5,	 businessanalysisreport5cp15,	 delete,	 38_text_businessanalysisreport5,	 -
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp15,	 delete,	 25_png_hingtobeginwithafirsthint,	 -
merclothesinecommercewish,	 merclothesinecommercewishcp15, add,	 cell_7406,	 cell_7828
ricepredictionwith95score,	 ricepredictionwith95scorecp15,	 delete,	 cell_10344,	 -
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp15, add,	 cell_9830,	 cell_7467
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp15, add,	 cell_8376,	 41_text_tavisualizationwithpython
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp15,	 delete,	 20_png_19pandasprofilingbeginner,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp15,	 delete,	 cell_7573,	 -
ificationsmachinelearning,	 ificationsmachinelearningcp15, add,	 cell_7785,	 4_DataFrame_indiafbprophetforecasting
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp15, add,	 33_png_tplotlibvisualizationtips,	 cell_7984
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp15, add,	 13_text_ameswannadobusinesswithit,	 cell_8485
sanalysisandvisualization,	 sanalysisandvisualizationcp15, add,	 32_data_year_sanalysisandvisualization,	 cell_7709
netflixandeda,	 netflixandedacp15, add,	 cell_9254,	 cell_7884
mobilepriceprediction,	 mobilepricepredictioncp15, add,	 cell_10315,	 cell_7249
andrecommendationusingknn,	 andrecommendationusingknncp15,	 delete,	 11_DataFrame_andrecommendationusingknn,	 -
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp15,	 delete,	 15_data_check_nmethodsonmushroomdataset,	 -
lephonepricingpredictions,	 lephonepricingpredictionscp15,	 delete,	 18_X_lephonepricingpredictions,	 -
solarpowergenerationdata,	 solarpowergenerationdatacp15, add,	 cell_8304,	 9_text_eogamesindustrymadesimple
chooseheartovermind,	 chooseheartovermindcp15, add,	 cell_7764,	 cell_9725
ogisticregressionfeatures,	 ogisticregressionfeaturescp15,	 delete,	 7_png_ogisticregressionfeatures,	 -
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp15, add,	 cell_10145,	 cell_8192
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp15,	 delete,	 85_df_eogamesindustrymadesimple,	 -
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp15,	 delete,	 39_png_lerexoplanetsearchresults,	 -
classification9975acrfpca,	 classification9975acrfpcacp15,	 delete,	 16_text_classification9975acrfpca,	 -
mobilepriceclassification,	 mobilepriceclassificationcp15,	 delete,	 10_corrmat_mobilepriceclassification,	 -
mushroomclassification,	 mushroomclassificationcp15,	 delete,	 cell_9964,	 -
winesnsandpltanalysis,	 winesnsandpltanalysiscp15, add,	 4_DataFrame_winesnsandpltanalysis,	 cell_7147
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp15, add,	 cell_10196,	 cell_7480
unitsoldpredictmodel,	 unitsoldpredictmodelcp15, add,	 cell_7286,	 13_submission_geiiisimpleedaandcracking
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp15,	 delete,	 2_submission_geiiisimpleedaandcracking,	 -
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp15, add,	 cell_10100,	 cell_8952
edaonindiancuisine,	 edaonindiancuisinecp15,	 delete,	 5_DataFrame_edaonindiancuisine,	 -
edanetflix,	 edanetflixcp15,	 delete,	 3_data_edanetflix,	 -
tionedawithvisualizations,	 tionedawithvisualizationscp15,	 delete,	 cell_9858,	 -
indiafbprophetforecasting,	 indiafbprophetforecastingcp15, add,	 cell_7984,	 118_png_olarpowermachinelearningi
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp15,	 delete,	 59_text_sisandvisualizationfifa19,	 -
rningedawithbiomechanical,	 rningedawithbiomechanicalcp15,	 delete,	 cell_10056,	 -
covid19tweetsedaviz,	 covid19tweetsedavizcp15, add,	 10_text_covid19tweetsedaviz,	 cell_8117
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp15, add,	 cell_8547,	 7_DataFrame_level12simpleedaonlevel34
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp15, add,	 30_text_doyouknowaboutfootballers,	 cell_9007
viesanalysisvisualization,	 viesanalysisvisualizationcp15, add,	 cell_9058,	 cell_10291
salesendtoendconstruction,	 salesendtoendconstructioncp15, add,	 14_text_salesendtoendconstruction,	 8_png_indiafbprophetforecasting
winerecommender,	 winerecommendercp15, add,	 21_png_winerecommender,	 cell_7583
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp15,	 delete,	 cell_9235,	 -
ystemusingweightedaverage,	 ystemusingweightedaveragecp15, add,	 17_DataFrame_ystemusingweightedaverage,	 17_df_months_dnetflixandchillgetfamous
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp15, add,	 9_text_andasmatplotlibandseaborn,	 90_text_olarpowermachinelearningi
decisiontreeclassifier,	 decisiontreeclassifiercp15,	 delete,	 7_labelled_df_decisiontreeclassifier,	 -
shierarchicalonindianfood,	 shierarchicalonindianfoodcp15,	 delete,	 cell_7058,	 -
nanalysisandvisualization,	 nanalysisandvisualizationcp15, add,	 38_png_nanalysisandvisualization,	 63_png_doyouknowaboutfootballers
indianfoodexploration,	 indianfoodexplorationcp15, add,	 7_png_indianfoodexploration,	 cell_7404
eringvslogisticregression,	 eringvslogisticregressioncp15,	 delete,	 33_X_eringvslogisticregression,	 -
scienceandmachinelearning,	 scienceandmachinelearningcp15, add,	 9_newBioDataFrame_scienceandmachinelearning,	 37_text_dpredictionwithtensorflow
lysisandvisualizationwine,	 lysisandvisualizationwinecp15,	 delete,	 cell_7525,	 -
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp16, add,	 7_X_train_ithmsandfeatureimportance,	 cell_7631
ificationwithrandomforest,	 ificationwithrandomforestcp16, add,	 43_text_ificationwithrandomforest,	 cell_10096
hedaandlogisticregression,	 hedaandlogisticregressioncp16, add,	 15_temp_hedaandlogisticregression,	 cell_8123
salesprediction,	 salespredictioncp16,	 delete,	 cell_7339,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp16,	 delete,	 cell_9930,	 -
videogamesedaseaborn,	 videogamesedaseaborncp16,	 delete,	 cell_8575,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp16,	 delete,	 cell_7150,	 -
recipesanalysis,	 recipesanalysiscp16,	 delete,	 cell_7160,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp16,	 delete,	 22_DataFrame_9tweetsentimentalanalysis,	 -
iveedavizlinearregression,	 iveedavizlinearregressioncp16,	 delete,	 11_text_iveedavizlinearregression,	 -
olarpowermachinelearningi,	 olarpowermachinelearningicp16,	 delete,	 56_DataFrame_olarpowermachinelearningi,	 -
fifa19analysis,	 fifa19analysiscp16, add,	 cell_9548,	 32_final_ameswannadobusinesswithit
netflixdataanalysis,	 netflixdataanalysiscp16,	 delete,	 cell_9270,	 -
gsalesregressionr2score95,	 gsalesregressionr2score95cp16, add,	 30_text_gsalesregressionr2score95,	 3_text_unitsoldpredictmodel
solarpowergenerationeda,	 solarpowergenerationedacp16, add,	 cell_8192,	 11_png_mushroomclassification
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp16,	 delete,	 cell_10049,	 -
toseeingredientsimilarity,	 toseeingredientsimilaritycp16, add,	 34_text_toseeingredientsimilarity,	 47_DataFrame_isforsolarpowergeneration
eofmlclassificationmodels,	 eofmlclassificationmodelscp16, add,	 cell_8974,	 28_text_hingtobeginwithafirsthint
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp16,	 delete,	 22_png_ndationenginewithnetworkx,	 -
lysiswithlinearregression,	 lysiswithlinearregressioncp16,	 delete,	 cell_9350,	 -
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp16, add,	 13_max_Sales_sicsedamlforverybeginners,	 12_salesData_unitsoldpredictmodel
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp16, add,	 31_df4_izationplotlyplotstreemap,	 5_text_salesendtoendconstruction
usinggaussiandistribution,	 usinggaussiandistributioncp16, add,	 29_train_test_v1_usinggaussiandistribution,	 74_text_doyouknowaboutfootballers
classification929accuracy,	 classification929accuracycp16,	 delete,	 8_text_classification929accuracy,	 -
amesdatasetedausingpython,	 amesdatasetedausingpythoncp16, add,	 cell_8876,	 41_DataFrame_merclothesinecommercewish
indianfood101,	 indianfood101cp16, add,	 cell_7118,	 7_text_classification9975acrfpca
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp16,	 delete,	 10_text_level12simpleedaonlevel34,	 -
fifa19visualization,	 fifa19visualizationcp16,	 delete,	 cell_9420,	 -
businessanalysisreport3,	 businessanalysisreport3cp16,	 delete,	 40_text_businessanalysisreport3,	 -
chesswinnerprediction,	 chesswinnerpredictioncp16,	 delete,	 cell_8836,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp16,	 delete,	 cell_8825,	 -
solarpowerplantanalysis,	 solarpowerplantanalysiscp16, add,	 26_result_solarpowerplantanalysis,	 2_plant1_generation_indiafbprophetforecasting
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp16, add,	 cell_7234,	 cell_9930
thefutureofpowerissolar,	 thefutureofpowerissolarcp16, add,	 cell_8182,	 7_text_indianfood101
covid19tweetanalysis,	 covid19tweetanalysiscp16, add,	 22_DataFrame_covid19tweetanalysis,	 cell_7498
tavisualizationwithpython,	 tavisualizationwithpythoncp16,	 delete,	 cell_8805,	 -
iencetutorialforbeginners,	 iencetutorialforbeginnerscp16,	 delete,	 134_text_iencetutorialforbeginners,	 -
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp16, add,	 8_png_atasetexploratoryanalysis,	 cell_8971
isvisualizationwithpython,	 isvisualizationwithpythoncp16, add,	 cell_7845,	 11_text_classification929accuracy
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp16, add,	 21_text_lixedaconsumptionanalysis,	 18_text_decisiontreeclassifier
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp16,	 delete,	 3_winedf_criptionswithnlpandkmeans,	 -
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp16,	 delete,	 35_df_known_nsivetutorialdatacleaning,	 -
ics1descriptivestatistics,	 ics1descriptivestatisticscp16, add,	 cell_9093,	 42_text_hingtobeginwithafirsthint
borsknnclassification7525,	 borsknnclassification7525cp16,	 delete,	 1_text_borsknnclassification7525,	 -
variateplottingwithpandas,	 variateplottingwithpandascp16,	 delete,	 2_DataFrame_variateplottingwithpandas,	 -
isforsolarpowergeneration,	 isforsolarpowergenerationcp16, add,	 52_DataFrame_isforsolarpowergeneration,	 114_power_sensor_olarpowermachinelearningi
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp16, add,	 cell_7500,	 cell_7755
heartdisease,	 heartdiseasecp16,	 delete,	 6_num_heartdisease,	 -
nerationpredictionxgboost,	 nerationpredictionxgboostcp16,	 delete,	 12_main_df_nerationpredictionxgboost,	 -
analysisvizrecommendation,	 analysisvizrecommendationcp16, add,	 38_text_analysisvizrecommendation,	 cell_7639
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp16, add,	 42_vgdata_deogamesalesedawithplotly,	 cell_7361
exploratorydataanalysis,	 exploratorydataanalysiscp16, add,	 cell_8919,	 16_text_chesswinnerprediction
ddatasetsvmclassification,	 ddatasetsvmclassificationcp16, add,	 cell_8352,	 21_text_19pandasprofilingbeginner
videogamesanalysis,	 videogamesanalysiscp16, add,	 11_GenreGroup_videogamesanalysis,	 cell_10363
dfrauddetection95accuracy,	 dfrauddetection95accuracycp16,	 delete,	 9_text_dfrauddetection95accuracy,	 -
analysingindianrecipes,	 analysingindianrecipescp16,	 delete,	 25_DataFrame_analysingindianrecipes,	 -
predictingthesales,	 predictingthesalescp16, add,	 48_png_predictingthesales,	 33_text_eogamesindustrymadesimple
rclothesdatavisualization,	 rclothesdatavisualizationcp16, add,	 cell_7473,	 132_png_olarpowermachinelearningi
businessanalysisreport5,	 businessanalysisreport5cp16, add,	 cell_9109,	 cell_9875
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp16,	 delete,	 cell_7922,	 -
merclothesinecommercewish,	 merclothesinecommercewishcp16, add,	 51_DataFrame_merclothesinecommercewish,	 cell_8001
ricepredictionwith95score,	 ricepredictionwith95scorecp16,	 delete,	 cell_10340,	 -
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp16, add,	 17_png_dsusingtheilsuforsurvival,	 cell_10364
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp16, add,	 17_text_hyyoushouldnotuseroccurve,	 cell_8431
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp16, add,	 cell_9501,	 29_text_sanalysisandvisualization
winedatasetdatacleaning,	 winedatasetdatacleaningcp16,	 delete,	 cell_7569,	 -
ificationsmachinelearning,	 ificationsmachinelearningcp16, add,	 cell_7779,	 63_text_mobilepriceprediction
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp16, add,	 10_png_tplotlibvisualizationtips,	 cell_9902
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp16,	 delete,	 30_perc_ameswannadobusinesswithit,	 -
sanalysisandvisualization,	 sanalysisandvisualizationcp16, add,	 48_png_sanalysisandvisualization,	 cell_10149
netflixandeda,	 netflixandedacp16,	 delete,	 12_png_netflixandeda,	 -
mobilepriceprediction,	 mobilepricepredictioncp16,	 delete,	 cell_10283,	 -
andrecommendationusingknn,	 andrecommendationusingknncp16, add,	 cell_7683,	 cell_9916
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp16, add,	 cell_9978,	 55_png_sisandvisualizationfifa19
lephonepricingpredictions,	 lephonepricingpredictionscp16,	 delete,	 cell_10246,	 -
solarpowergenerationdata,	 solarpowergenerationdatacp16,	 delete,	 9_png_solarpowergenerationdata,	 -
chooseheartovermind,	 chooseheartovermindcp16, add,	 cell_7772,	 14_DataFrame_geiiisimpleedaandcracking
ogisticregressionfeatures,	 ogisticregressionfeaturescp16,	 delete,	 15_png_ogisticregressionfeatures,	 -
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp16,	 delete,	 cell_10144,	 -
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp16, add,	 cell_8658,	 cell_10155
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp16,	 delete,	 25_png_lerexoplanetsearchresults,	 -
classification9975acrfpca,	 classification9975acrfpcacp16, add,	 cell_9992,	 90_png_izationplotlyplotstreemap
mobilepriceclassification,	 mobilepriceclassificationcp16, add,	 46_text_mobilepriceclassification,	 cell_10024
mushroomclassification,	 mushroomclassificationcp16,	 delete,	 1_text_mushroomclassification,	 -
winesnsandpltanalysis,	 winesnsandpltanalysiscp16,	 delete,	 cell_7483,	 -
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp16, add,	 cell_10183,	 cell_8374
unitsoldpredictmodel,	 unitsoldpredictmodelcp16,	 delete,	 70_text_unitsoldpredictmodel,	 -
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp16, add,	 2_test_df_level_3_geiiisimpleedaandcracking,	 79_png_eogamesindustrymadesimple
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp16, add,	 34_text_egrehastalarnsnflandrlmas,	 cell_7085
edaonindiancuisine,	 edaonindiancuisinecp16,	 delete,	 13_text_edaonindiancuisine,	 -
edanetflix,	 edanetflixcp16,	 delete,	 6_text_edanetflix,	 -
tionedawithvisualizations,	 tionedawithvisualizationscp16, add,	 28_text_tionedawithvisualizations,	 9_text_videogamesedaseaborn
indiafbprophetforecasting,	 indiafbprophetforecastingcp16, add,	 7_png_indiafbprophetforecasting,	 70_png_iveedavizlinearregression
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp16,	 delete,	 105_best_club_sisandvisualizationfifa19,	 -
rningedawithbiomechanical,	 rningedawithbiomechanicalcp16,	 delete,	 cell_10076,	 -
covid19tweetsedaviz,	 covid19tweetsedavizcp16,	 delete,	 cell_9009,	 -
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp16, add,	 cell_8548,	 25_text_ificationedaplotlyseaborn
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp16,	 delete,	 cell_9791,	 -
viesanalysisvisualization,	 viesanalysisvisualizationcp16,	 delete,	 cell_9049,	 -
salesendtoendconstruction,	 salesendtoendconstructioncp16, add,	 5_text_salesendtoendconstruction,	 cell_9991
winerecommender,	 winerecommendercp16, add,	 40_cnt_winerecommender,	 cell_9994
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp16,	 delete,	 2_text_dnetflixandchillgetfamous,	 -
ystemusingweightedaverage,	 ystemusingweightedaveragecp16,	 delete,	 cell_7739,	 -
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp16,	 delete,	 cell_7582,	 -
decisiontreeclassifier,	 decisiontreeclassifiercp16, add,	 12_X_decisiontreeclassifier,	 24_text_doyouknowaboutfootballers
shierarchicalonindianfood,	 shierarchicalonindianfoodcp16,	 delete,	 4_df_shierarchicalonindianfood,	 -
nanalysisandvisualization,	 nanalysisandvisualizationcp16,	 delete,	 42_df_nanalysisandvisualization,	 -
indianfoodexploration,	 indianfoodexplorationcp16, add,	 16_text_indianfoodexploration,	 10_text_solarpowergenerationeda
eringvslogisticregression,	 eringvslogisticregressioncp16,	 delete,	 42_png_eringvslogisticregression,	 -
scienceandmachinelearning,	 scienceandmachinelearningcp16,	 delete,	 cell_10161,	 -
lysisandvisualizationwine,	 lysisandvisualizationwinecp16, add,	 12_text_lysisandvisualizationwine,	 9_text_heartdisease
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp17, add,	 7_X_train_ithmsandfeatureimportance,	 33_png_sanalysisandvisualization
ificationwithrandomforest,	 ificationwithrandomforestcp17,	 delete,	 cell_9909,	 -
hedaandlogisticregression,	 hedaandlogisticregressioncp17,	 delete,	 29_mean_df_hedaandlogisticregression,	 -
salesprediction,	 salespredictioncp17,	 delete,	 3_data_frame_salesprediction,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp17,	 delete,	 cell_9931,	 -
videogamesedaseaborn,	 videogamesedaseaborncp17,	 delete,	 33_png_videogamesedaseaborn,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp17,	 delete,	 10_DataFrame_ndiancuisineedawithplotly,	 -
recipesanalysis,	 recipesanalysiscp17,	 delete,	 32_DataFrame_recipesanalysis,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp17,	 delete,	 cell_8948,	 -
iveedavizlinearregression,	 iveedavizlinearregressioncp17, add,	 54_df_3_iveedavizlinearregression,	 cell_8968
olarpowermachinelearningi,	 olarpowermachinelearningicp17, add,	 90_text_olarpowermachinelearningi,	 cell_8410
fifa19analysis,	 fifa19analysiscp17, add,	 23_eldest_fifa19analysis,	 cell_10308
netflixdataanalysis,	 netflixdataanalysiscp17, add,	 cell_9277,	 cell_8508
gsalesregressionr2score95,	 gsalesregressionr2score95cp17, add,	 4_DataFrame_gsalesregressionr2score95,	 cell_9383
solarpowergenerationeda,	 solarpowergenerationedacp17, add,	 28_png_solarpowergenerationeda,	 cell_7993
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp17, add,	 23_png_ningkmeansandhierarchical,	 cell_9405
toseeingredientsimilarity,	 toseeingredientsimilaritycp17,	 delete,	 cell_7201,	 -
eofmlclassificationmodels,	 eofmlclassificationmodelscp17,	 delete,	 30_png_eofmlclassificationmodels,	 -
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp17,	 delete,	 cell_9029,	 -
lysiswithlinearregression,	 lysiswithlinearregressioncp17,	 delete,	 28_DataFrame_lysiswithlinearregression,	 -
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp17,	 delete,	 10_DataFrame_sicsedamlforverybeginners,	 -
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp17,	 delete,	 cell_9162,	 -
usinggaussiandistribution,	 usinggaussiandistributioncp17, add,	 cell_8389,	 cell_7783
classification929accuracy,	 classification929accuracycp17, add,	 12_text_classification929accuracy,	 41_text_gsalesregressionr2score95
amesdatasetedausingpython,	 amesdatasetedausingpythoncp17,	 delete,	 cell_8861,	 -
indianfood101,	 indianfood101cp17, add,	 2_data_indianfood101,	 cell_8780
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp17,	 delete,	 4_train_level12simpleedaonlevel34,	 -
fifa19visualization,	 fifa19visualizationcp17, add,	 cell_9416,	 40_png_netflixdataanalysis
businessanalysisreport3,	 businessanalysisreport3cp17,	 delete,	 54_png_businessanalysisreport3,	 -
chesswinnerprediction,	 chesswinnerpredictioncp17, add,	 cell_8852,	 cell_7849
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp17, add,	 5_text_edictionusingmlalgorithms,	 54_text_iewsdatasetinsightsofdata
solarpowerplantanalysis,	 solarpowerplantanalysiscp17, add,	 39_invert_results_df_solarpowerplantanalysis,	 20_popularity_ystemusingweightedaverage
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp17,	 delete,	 7_text_dpredictionwithtensorflow,	 -
thefutureofpowerissolar,	 thefutureofpowerissolarcp17, add,	 cell_8182,	 cell_7986
covid19tweetanalysis,	 covid19tweetanalysiscp17, add,	 cell_8930,	 10_png_chesswinnerprediction
tavisualizationwithpython,	 tavisualizationwithpythoncp17,	 delete,	 37_png_tavisualizationwithpython,	 -
iencetutorialforbeginners,	 iencetutorialforbeginnerscp17,	 delete,	 83_text_iencetutorialforbeginners,	 -
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp17, add,	 10_png_atasetexploratoryanalysis,	 cell_8212
isvisualizationwithpython,	 isvisualizationwithpythoncp17,	 delete,	 147_png_isvisualizationwithpython,	 -
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp17, add,	 cell_9211,	 cell_8425
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp17, add,	 cell_7555,	 cell_8890
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp17,	 delete,	 31_X_unknown_nsivetutorialdatacleaning,	 -
ics1descriptivestatistics,	 ics1descriptivestatisticscp17, add,	 cell_9102,	 32_df2_ameswannadobusinesswithit
borsknnclassification7525,	 borsknnclassification7525cp17, add,	 8_DataFrame_borsknnclassification7525,	 20_text_edaonindiancuisine
variateplottingwithpandas,	 variateplottingwithpandascp17, add,	 11_text_variateplottingwithpandas,	 10_png_tplotlibvisualizationtips
isforsolarpowergeneration,	 isforsolarpowergenerationcp17, add,	 47_DataFrame_isforsolarpowergeneration,	 cell_8352
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp17, add,	 38_dataset_iewsdatasetinsightsofdata,	 cell_9977
heartdisease,	 heartdiseasecp17, add,	 cell_7834,	 9_DataFrame_ystemusingweightedaverage
nerationpredictionxgboost,	 nerationpredictionxgboostcp17, add,	 37_DataFrame_nerationpredictionxgboost,	 30_text_tavisualizationwithpython
analysisvizrecommendation,	 analysisvizrecommendationcp17,	 delete,	 cell_9347,	 -
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp17, add,	 105_df2_deogamesalesedawithplotly,	 cell_8703
exploratorydataanalysis,	 exploratorydataanalysiscp17, add,	 cell_8922,	 3_text_sicsedamlforverybeginners
ddatasetsvmclassification,	 ddatasetsvmclassificationcp17, add,	 cell_8335,	 51_top_players_amesdatasetedausingpython
videogamesanalysis,	 videogamesanalysiscp17, add,	 8_popPlatform_videogamesanalysis,	 66_png_fifa19visualization
dfrauddetection95accuracy,	 dfrauddetection95accuracycp17,	 delete,	 cell_8313,	 -
analysingindianrecipes,	 analysingindianrecipescp17,	 delete,	 cell_7092,	 -
predictingthesales,	 predictingthesalescp17, add,	 6_text_predictingthesales,	 cell_8210
rclothesdatavisualization,	 rclothesdatavisualizationcp17, add,	 cell_7469,	 3_game_ameswannadobusinesswithit
businessanalysisreport5,	 businessanalysisreport5cp17, add,	 cell_9134,	 65_DataFrame_viesanalysisvisualization
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp17, add,	 48_text_hingtobeginwithafirsthint,	 15_text_exploratorydataanalysis
merclothesinecommercewish,	 merclothesinecommercewishcp17, add,	 65_png_merclothesinecommercewish,	 cell_8078
ricepredictionwith95score,	 ricepredictionwith95scorecp17, add,	 32_text_ricepredictionwith95score,	 38_png_viesanalysisvisualization
